"","store_name","borough","year","store_address","latitude","longitude","type"
"6937","LAI FU 88 GROCERY INC","Brooklyn",2014,"2102 BATH AVE",40.599843464,-73.999449543,"retail store"
"6938","793 WYCKOFF DELI CORP","Queens",2014,"793 WYCKOFF AVENUE",40.698413765,-73.908800852,"retail store"
"6939","LE BON PATE BAKERY INC","Queens",2014,"215-47 JAMAICA AVE",40.717644659,-73.73910017,"retail store"
"6940","149 GOURMET DELI INC","Manhattan",2014,"781 ST NICHOLAS AVE",40.826829551,-73.943185012,"retail store"
"6941","DIOMAR GROCERY CORP","Queens",2014,"64-01 COOPER AVE",40.698066461,-73.891901092,"retail store"
"6942","DEVPOOJA DELI GROCERY INC","Brooklyn",2014,"336 BUTLER STREET",40.680003795,-73.981695834,"retail store"
"6943","FRESH SUPERETTE INC","Manhattan",2014,"804 W 181ST STREET",40.850883308,-73.938602122,"retail store"
"6944","SYEDS STORES CORP","Brooklyn",2014,"1742 FLATBUSH AVE",40.62771543,-73.942500127,"retail store"
"6945","SK FARM EP INC","Brooklyn",2014,"247 SCHENECTADY AVE",40.670185946,-73.93362872,"retail store"
"6946","BHAKTIGI 61 INC","Queens",2014,"39-58 61ST ST",40.745760287,-73.90347759,"retail store"
"6947","MALIK AND NURI IMPORTERS INC","Manhattan",2014,"2322 ACP JR BLVD",40.818909,-73.94245,"retail store"
"6948","FLAVAS BAKERY INC","Queens",2014,"147-95 B FARMERS BLVD",40.659844145,-73.772531894,"retail store"
"6949","BWAY DELI FOOD CORP","Bronx",2014,"5219A BROADWAY",40.875017615,-73.909511386,"retail store"
"6950","77 AVE D GROCERY STORE CORP","Manhattan",2014,"77 AVENUE D",40.72265687,-73.976963579,"retail store"
"6951","FERMIN DELI GROCERY CORP","Bronx",2014,"1113 GRANT AVE",40.830986808,-73.916648493,"retail store"
"6952","BLP MEAT MARKET CORP","Manhattan",2014,"72 CLINTON ST",40.719186468,-73.984917586,"retail store"
"6953","EUGENE J CANDY CO LLC","Brooklyn",2014,"16 WILSON AVE",40.703286291,-73.93049414,"retail store"
"6954","KYJW CORPORATION","Manhattan",2014,"478 3RD AVE",40.744863465,-73.978987389,"retail store"
"6955","WORLD FAMOUS DELI CORP","Brooklyn",2014,"475 BERGEN STREET",40.680878698,-73.974620669,"retail store"
"6956","107 GROCERY DELI CORP","Queens",2014,"107-01 37TH AVENUE",40.754037206,-73.861078235,"retail store"
"6957","LOS POBLANOS GROCERY CORP","Queens",2014,"92-19 ROOSEVELT AVE",40.74882471,-73.873872791,"retail store"
"6958","FILONCINO BAKERY LLC","Staten Island",2014,"4569 AMBOY RD",40.542571345,-74.165451207,"retail store"
"6959","DOLLAR TREE STORES INC","Staten Island",2014,"2145 HYLAN BLVD",40.578463828,-74.102630855,"retail store"
"6960","AL TAWAKULL HALAL MEAT INC","Queens",2014,"37-68 74TH ST",40.74708446,-73.891604456,"retail store"
"6961","GARDEN CONVENIENCE DELI CORP","Queens",2014,"6502 FRESH POND RD",40.709538018,-73.898993942,"retail store"
"6962","NELLYS DELI GROCERY CORP","Bronx",2014,"1240 SPOFFORD AVE",40.81392142,-73.889358106,"retail store"
"6963","LOLAS DELI & GROCERY CORP","Bronx",2014,"4008 BRONXWOOD AVE",40.886936975,-73.853974488,"retail store"
"6964","NEW ANDREWS DELI GROCERY CORP","Bronx",2014,"1899 ANDREWS AVE.",40.854039095,-73.913937283,"retail store"
"6965","88 MARKET INC","Brooklyn",2014,"4614 8TH AVENUE",40.643290786,-74.001570605,"retail store"
"6966","PAGE BAGELS INC","Staten Island",2014,"6959 AMBOY RD",40.516656973,-74.232819916,"retail store"
"6967","URENA MEAT MARKET & DELI CORP","Bronx",2014,"1212 GRANT AVE",40.833793278,-73.914617558,"retail store"
"6968","CONSTANTINE & CO INC","Queens",2014,"6002 CATALPA AVENUE",40.702815773,-73.899368697,"retail store"
"6969","RPJ DELI & GROCERY STORE II INC","Queens",2014,"98-51 212TH ST",40.714429822,-73.746685876,"retail store"
"6970","HONG DA SUPERMARKET INC","Brooklyn",2014,"2319 86TH STREET",40.60037362,-73.990854739,"retail store"
"6971","SANTIAGO MEAT & PRODUCE INC","Queens",2014,"94-53 CORONA AVENUE",40.742461421,-73.868229591,"retail store"
"6972","JAITEH KABA LLC","Bronx",2014,"1514 WATSON AVE",40.825876487,-73.878835968,"retail store"
"6973","1338 FOOD INC","Manhattan",2014,"1338 ST NICHOLAS AVE",40.846576686,-73.935509535,"retail store"
"6974","KIMS GOOD FARM INC","Brooklyn",2014,"1103 RUTLAND RD",40.664784899,-73.923385364,"retail store"
"6975","MANAYEYO FOOD CORP","Brooklyn",2014,"408 TOMPKINS AVE",40.683354754,-73.944058071,"retail store"
"6976","M & Z DELI GROCERY INC","Staten Island",2014,"2162 FOREST AVE",40.626512165,-74.161603578,"retail store"
"6977","WHOLE FOODS MARKET GROUP INC","Brooklyn",2014,"238 BEDFORD AVE",40.716151465,-73.959701049,"retail store"
"6978","TINTON GOURMET DELI CORP","Bronx",2014,"643 TINTON AVE",40.815286707,-73.905522355,"retail store"
"6979","NEIGHBORHOOD DELI & GROCERY NY INC","Manhattan",2014,"150 STANTON ST",40.720627066,-73.985477916,"retail store"
"6980","1532 AMSTERDAM FOOD CORP","Manhattan",2014,"1532 AMSTERDAM AVE",40.819443083,-73.952078546,"retail store"
"6981","2038 AMSTERDAM GROCERY & TOBACCO INC","Manhattan",2014,"2038 AMSTERDAM AVENUE",40.835540528,-73.940307337,"retail store"
"6982","LC GROCERY STORE CORP","Bronx",2014,"2155 GRAND CONCOURSE",40.854872046,-73.902061299,"retail store"
"6983","Y & Z DELI CORP","Queens",2014,"113-02 JAMAICA AVE",40.697789942,-73.835461463,"retail store"
"6984","FOOD U DESIRE 3 CORP","Manhattan",2014,"18-20 1ST AVENUE",40.723557421,-73.988038587,"retail store"
"6985","37-63 GROCERY FOOD CORP","Queens",2014,"37-63 88TH STREET",40.748567763,-73.878280834,"retail store"
"6986","THREE IN ONE DELI GROCERY&GRILL INC","Brooklyn",2014,"9717 KINGS HWY",40.661737658,-73.919890865,"retail store"
"6987","BHAKTI DELI AND CONVENIENCE INC","Bronx",2014,"2959 MIDDLETOWN ROAD",40.843954576,-73.830647065,"retail store"
"6988","A & L DELI MEAT MARKET CORP","Queens",2014,"102-02 37TH AVE",40.752969352,-73.865211519,"retail store"
"6989","LEXUNDER INC","Brooklyn",2014,"2769 W 15TH ST",40.579952412,-73.983108352,"retail store"
"6990","SUSHI MARU EXPRESS INC","Manhattan",2014,"130 BLEEKER ST (MORTON WILLIAMS)",40.72775139,-73.998660219,"retail store"
"6991","SUSHI MARU EXPRESS INC","Manhattan",2014,"2941 BROADWAY (MORTON WILLIAMS)",40.807658,-73.964593,"retail store"
"6992","SUSHI MARU EXPRESS INC","Manhattan",2014,"140 W 57ST (IN MORTON WILLIAMS)",40.764862937,-73.978867947,"retail store"
"6993","SUSHI MARU EXPRESS INC","Manhattan",2014,"908 2ND AVE (IN MORTON WILLIAMS)",40.753731,-73.968982,"retail store"
"6994","QUICK STOP TWO GOURMET DELI INC","Queens",2014,"7544 METROPOLITAN AVE",40.712961983,-73.876106569,"retail store"
"6995","GOLDEN CITY SUPERMARKET 1 INC","Brooklyn",2014,"2217 86TH STREET",40.601740708,-73.993113662,"retail store"
"6996","MILLENNIUM MOON LIGHT DELI GROCERY INC","Queens",2014,"65-00 MYRTLE AVE",40.701008803,-73.890272153,"retail store"
"6997","JUICE PRESS LLC THE","Brooklyn",2014,"207 7TH AVE",40.670266622,-73.978588746,"retail store"
"6998","ELJAHMI MAJID","Brooklyn",2014,"3913 9TH AVE",40.645538625,-73.995328664,"retail store"
"6999","JUICE PRESS LLC THE","Manhattan",2014,"415 GREENWICH ST",40.721925297,-74.009689295,"retail store"
"7000","INDULGE GRILL GOURMET INC","Brooklyn",2014,"5304 4TH AVE",40.64478748,-74.014634785,"retail store"
"7001","JUICE PRESS LLC THE","Brooklyn",2014,"124 MONTAGUE STREET",40.694723968,-73.994472033,"retail store"
"7002","JUICE PRESS LLC THE","Manhattan",2014,"350 AMSTERDAM AVE",40.781657547,-73.979654002,"retail store"
"7003","JUICE PRESS LLC THE","Brooklyn",2014,"144 N 8TH ST",40.718761883,-73.957909836,"retail store"
