zip,est_mean_income,est_median_income
12481,88694,63472
12483,73120,63200
12484,77013,56500
12485,70895,52625
12486,102001,90787
12487,107648,66360
12489,48896,24205
12491,104501,100951
12494,111875,118235
12495,117638,51607
12496,81276,63077
12498,90802,53344
12501,88093,65714
12502,118586,75238
12503,169810,75000
12504,179156,178693
12507,83131,58750
12508,99795,79410
12514,150712,108125
12515,89793,51848
12516,137103,111991
12517,73333,84554
12518,107819,84196
12520,124594,108625
12521,105913,62368
12522,74764,60492
12523,95387,75074
12524,101280,82842
12525,98171,79105
12526,94725,70977
12528,89535,75590
12529,130112,84293
12531,139466,119435
12533,142643,107539
12534,74984,54159
12538,100155,79536
12540,145643,105673
12542,123122,97663
12543,89044,77125
12545,104894,80711
12546,90944,67615
12547,119890,95521
12548,86399,67778
12549,113383,100750
12550,84330,65760
12553,104809,85342
12561,92350,73514
12563,113636,106161
12564,114836,94539
12565,60183,51386
12566,110282,85884
12567,107843,66435
12569,102945,81997
12570,129485,103482
12571,123500,90268
12572,122776,85234
12575,150259,145769
12577,159980,160717
12578,102376,89211
12580,116282,73375
12581,111958,74301
12582,137319,111659
12583,104583,77692
12585,115830,86429
12586,92898,73333
12589,104246,86821
12590,108212,90103
12592,115504,63958
12594,92326,73333
12601,88554,50007
12603,108789,86155
12701,65163,45630
12719,89562,66972
12720,60309,61927
12721,97101,86797
12723,81330,64125
12725,108869,90714
12726,91103,62336
12729,59950,47607
12732,58512,26717
12733,43941,40227
12734,63155,47433
12736,37359,35238
12737,96649,97794
12738,80269,67396
12740,94754,74681
12741,68120,60417
12743,126965,80446
12746,73897,68056
12747,59869,50775
12748,86193,70911
12749,70320,74286
12751,41530,38750
12752,80057,65446
12754,68769,47083
12758,56903,37423
12759,54612,31146
12760,85403,66985
12762,59952,55898
12763,57420,34231
12764,69292,48832
12765,80770,71875
12767,87332,77222
12768,78239,67120
12769,57851,48056
12770,80353,61786
12771,68918,50677
12775,129050,82037
12776,88183,58409
12777,145946,110625
12779,53457,31944
12780,71533,47288
12781,84806,83194
12783,70849,54219
12785,94174,98750
12786,102318,111850
12787,88839,91389
12788,152939,79784
12789,89307,64437
12790,96059,76739
12791,76748,77344
12792,93815,65500
12801,71689,55573
12803,75436,65196
12804,100937,77663
12808,84774,77500
12809,68468,57602
12810,74766,59904
12811,53327,44833
12814,100930,95833
12815,69255,51333
12816,74473,61463
12817,88705,72778
12819,87494,73125
12821,69743,84643
12822,68983,60818
12823,88604,104911
12824,116338,68269
12827,84812,72825
12828,81797,63169
12831,104113,88507
12832,60396,45663
12833,132736,84437
12834,91101,72723
12835,94720,63375
12836,84267,69643
12837,67096,64722
12838,68180,57222
12839,63718,52291
12841,68368,53650
12842,69718,59063
12843,63284,45714
12844,157054,118804
12845,83106,68343
12846,78439,58902
12847,69752,62778
12850,114977,86250
12851,89536,64219
12852,63764,44688
12853,57036,45913
12855,62653,52054
12856,55317,48958
12857,71275,64130
12858,97563,88750
12859,102990,104539
12860,83371,74844
12861,85775,80556
12863,88399,79223
12865,69611,57171
12866,117772,88689
12870,72446,50800
12871,87080,71033
12873,86954,74271
12874,122729,114250
12878,65389,56250
12883,71357,56784
12884,65125,49722
12885,63848,51552
12886,78741,103125
12887,68388,59375
12901,72604,53456
12903,83162,73018
12910,58013,44016
12912,68959,57237
12913,77900,60476
12914,56558,48625
12916,55535,48750
12917,63721,56897
12918,102974,68125
12919,66566,51932
12920,86791,62059
12921,92122,83462
12923,58951,53750
12924,102082,111944
12926,58121,46629
12927,61121,52500
12928,81970,70208
12929,60210,50385
12930,77233,64583
12932,74808,52039
12933,66879,73077
12934,60787,56797
12935,66377,54813
12936,65762,60458
12937,50435,46103
12939,83619,60875
12941,80985,77700
12942,98773,90000
12943,50533,32206
12944,74902,55806
12945,77281,56181
12946,90203,63055
12950,67103,63750
12952,59601,49792
12953,72962,52064
12955,81675,63021
12956,44351,36023
